data_date,timestamp,time_window_end,window_minute,IM1_wait,IM2_wait,IM1_people,IM2_people,faster_gate,wait_diff_min,recommendation
2025-09-01,2025-09-01 00:00:00,2025-09-01 00:10:00,0,3.26,2.43,16.299999999999997,6.0,유사,0.83,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 00:10:00,2025-09-01 00:20:00,10,2.9,2.43,12.0,6.0,유사,0.47,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 00:20:00,2025-09-01 00:30:00,20,3.4,2.58,18.0,8.0,유사,0.82,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 00:30:00,2025-09-01 00:40:00,30,2.74,2.36,10.0,5.0,유사,0.38,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 00:40:00,2025-09-01 00:50:00,40,2.91,2.43,12.149999999999999,6.0,유사,0.48,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 00:50:00,2025-09-01 01:00:00,50,2.9,2.36,12.0,5.0,유사,0.54,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 01:00:00,2025-09-01 01:10:00,60,3.16,2.36,15.149999999999999,5.0,유사,0.8,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 01:10:00,2025-09-01 01:20:00,70,2.9,2.36,12.0,5.0,유사,0.54,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 01:20:00,2025-09-01 01:30:00,80,2.9,2.29,12.0,4.149999999999999,유사,0.61,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 01:30:00,2025-09-01 01:40:00,90,2.99,2.36,13.149999999999999,5.0,유사,0.63,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 01:40:00,2025-09-01 01:50:00,100,3.07,2.28,14.149999999999999,4.0,유사,0.79,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 01:50:00,2025-09-01 02:00:00,110,3.06,2.36,14.0,5.0,유사,0.7,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 02:00:00,2025-09-01 02:10:00,120,3.15,2.37,15.0,5.149999999999999,유사,0.78,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 02:10:00,2025-09-01 02:20:00,130,3.15,2.43,15.0,6.0,유사,0.72,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 02:20:00,2025-09-01 02:30:00,140,3.06,2.21,14.0,3.0,유사,0.85,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 02:30:00,2025-09-01 02:40:00,150,2.98,2.43,13.0,6.0,유사,0.55,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 02:40:00,2025-09-01 02:50:00,160,3.07,2.28,14.149999999999999,4.0,유사,0.79,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 02:50:00,2025-09-01 03:00:00,170,3.23,2.29,16.0,4.149999999999999,유사,0.94,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
2025-09-01,2025-09-01 03:00:00,2025-09-01 03:10:00,180,3.16,2.28,15.149999999999999,4.0,유사,0.88,IM1·IM2 대기시간 유사: 가까운 출국장 이용 안내
