data_date,timestamp,time_window_end,window_minute,area,area_type,ensemble_pred,wait_time_min,congestion_grade,operation_basis,operation_interval_min,im_gate,raw_required_security_lanes,recommended_security_lanes,operation_level,recommendation
2025-09-01,2025-09-01 00:00:00,2025-09-01 00:10:00,0,IM1,security,16.299999999999997,3.26,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:00:00,2025-09-01 00:10:00,0,IM2,security,6.0,2.43,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:10:00,2025-09-01 00:20:00,10,IM1,security,12.0,2.9,1,실측 10분 85% 분위값,10,IM1,2,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:10:00,2025-09-01 00:20:00,10,IM2,security,6.0,2.43,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:20:00,2025-09-01 00:30:00,20,IM1,security,18.0,3.4,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:20:00,2025-09-01 00:30:00,20,IM2,security,8.0,2.58,1,실측 10분 85% 분위값,10,IM2,2,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:30:00,2025-09-01 00:40:00,30,IM1,security,10.0,2.74,1,실측 10분 85% 분위값,10,IM1,2,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:30:00,2025-09-01 00:40:00,30,IM2,security,5.0,2.36,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:40:00,2025-09-01 00:50:00,40,IM1,security,12.149999999999999,2.91,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:40:00,2025-09-01 00:50:00,40,IM2,security,6.0,2.43,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:50:00,2025-09-01 01:00:00,50,IM1,security,12.0,2.9,1,실측 10분 85% 분위값,10,IM1,2,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 00:50:00,2025-09-01 01:00:00,50,IM2,security,5.0,2.36,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 01:00:00,2025-09-01 01:10:00,60,IM1,security,15.149999999999999,3.16,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 01:00:00,2025-09-01 01:10:00,60,IM2,security,5.0,2.36,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 01:10:00,2025-09-01 01:20:00,70,IM1,security,12.0,2.9,1,실측 10분 85% 분위값,10,IM1,2,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 01:10:00,2025-09-01 01:20:00,70,IM2,security,5.0,2.36,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 01:20:00,2025-09-01 01:30:00,80,IM1,security,12.0,2.9,1,실측 10분 85% 분위값,10,IM1,2,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 01:20:00,2025-09-01 01:30:00,80,IM2,security,4.149999999999999,2.29,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 01:30:00,2025-09-01 01:40:00,90,IM1,security,13.149999999999999,2.99,1,실측 10분 85% 분위값,10,IM1,3,12,1단계 기본 운영(12대),IM1 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 01:30:00,2025-09-01 01:40:00,90,IM2,security,5.0,2.36,1,실측 10분 85% 분위값,10,IM2,1,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
